,id,species,island,sex,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
385,1994,Gentoo,Biscoe,Female,47.5,15.0,218.0,4950.0
386,1357,Adelie,Dream,Male,41.1,18.1,205.0,4300.0
387,1785,Chinstrap,Dream,Male,50.3,20.0,197.0,3300.0
388,1567,Adelie,Torgersen,Female,39.6,17.2,196.0,3550.0
389,1362,Adelie,Torgersen,,42.0,20.2,190.0,4250.0
390,1212,Adelie,Torgersen,Male,4.18,1.94,19.8,4450.0
391,1309,Gentoo,Biscoe,Male,48.7,15.7,208.0,5350.0
392,1965,Adelie,Dream,Male,39.8,19.1,184.0,4650.0
393,1700,Chinstrap,Dream,Male,50.5,19.6,201.0,4050.0
394,1139,Gentoo,Biscoe,Male,50.5,15.9,225.0,5400.0
395,1894,Adelie,Torgersen,,37.8,17.1,186.0,3300.0
396,1028,Adelie,Dream,Female,38.9,18.8,190.0,3600.0
397,1129,Adelie,Biscoe,Female,37.6,17.0,185.0,3600.0
398,1282,Gentoo,Biscoe,Female,42.8,14.2,209.0,4700.0
399,1184,Chinstrap,Dream,Male,49.3,19.9,203.0,4050.0
400,1713,Chinstrap,Dream,Male,52.2,18.8,197.0,3450.0
401,1438,Chinstrap,Dream,Female,46.6,17.8,193.0,3800.0
402,1673,Chinstrap,Dream,Female,43.5,18.1,202.0,3400.0
403,1355,Gentoo,Biscoe,Male,50.0,16.3,230.0,5700.0
404,1126,Gentoo,Biscoe,Female,45.1,14.4,210.0,4400.0
405,1441,Adelie,Biscoe,Female,37.7,16.0,183.0,3075.0
406,1434,Chinstrap,Dream,Female,48.1,16.4,199.0,3325.0
407,1207,Adelie,Dream,Male,3.96,1.8800000000000001,19.0,4600.0
408,1000,Gentoo,Biscoe,Male,50.4,15.7,222.0,5750.0
409,1579,Adelie,Torgersen,Female,34.6,17.2,189.0,3200.0
410,1889,Adelie,Torgersen,Male,39.1,18.7,181.0,3750.0
411,1709,Gentoo,Biscoe,Female,45.1,14.5,215.0,5000.0
412,1146,Adelie,Torgersen,Female,36.7,18.8,187.0,3800.0
413,1001,Gentoo,Biscoe,Male,50.1,15.0,225.0,5000.0
414,1281,Gentoo,Biscoe,Male,49.4,15.8,216.0,4925.0
415,1700,Chinstrap,Dream,Male,50.5,19.6,201.0,4050.0
416,1567,Adelie,Torgersen,Female,39.6,17.2,196.0,3550.0
417,1839,Adelie,Torgersen,Female,36.2,17.2,187.0,3150.0
418,1579,Adelie,Torgersen,Female,34.6,17.2,189.0,3200.0
419,1041,Gentoo,Biscoe,Male,44.4,17.3,219.0,5250.0
420,1725,Adelie,Biscoe,Male,43.2,19.0,197.0,4775.0
421,1290,Chinstrap,Dream,Female,43.2,16.6,187.0,2900.0
422,1795,Adelie,Torgersen,Female,36.6,17.8,185.0,3700.0
423,1043,Chinstrap,Dream,Male,54.2,20.8,201.0,4300.0
424,1591,Gentoo,Biscoe,Male,54.3,15.7,231.0,5650.0
425,1256,Chinstrap,Dream,Male,5.13,1.8199999999999998,19.7,3750.0
426,1470,Adelie,Biscoe,Male,42.0,19.5,200.0,4050.0
427,1992,Adelie,Biscoe,Female,39.7,17.7,193.0,3200.0
428,1653,Gentoo,Biscoe,Female,42.0,13.5,210.0,4150.0
429,1543,Adelie,Dream,Male,39.6,18.1,186.0,4450.0
430,1803,Chinstrap,Dream,Male,51.3,19.2,193.0,3650.0
431,1909,Gentoo,Biscoe,Female,45.5,13.9,210.0,4200.0
432,1374,Gentoo,Biscoe,Male,48.6,16.0,230.0,5800.0
433,1802,Adelie,Torgersen,Male,41.4,18.5,202.0,3875.0
434,1085,Chinstrap,Dream,Male,51.3,19.9,198.0,3700.0
435,1934,Chinstrap,Dream,Female,42.5,17.3,187.0,3350.0
436,1139,Gentoo,Biscoe,Male,50.5,15.9,225.0,5400.0
437,1944,Adelie,Dream,Male,38.8,20.0,190.0,3950.0
438,1532,Chinstrap,Dream,Female,46.5,17.9,192.0,3500.0
439,1834,Adelie,Biscoe,Female,35.9,19.2,189.0,3800.0
440,1725,Adelie,Biscoe,Male,43.2,19.0,197.0,4775.0
441,1001,Gentoo,Biscoe,Male,50.1,15.0,225.0,5000.0
442,1829,Adelie,Torgersen,Female,38.9,17.8,181.0,3625.0
443,1250,Chinstrap,Dream,Male,49.6,18.2,193.0,3775.0
444,1584,Adelie,Biscoe,Female,39.0,17.5,186.0,3550.0
445,1598,Adelie,Torgersen,Male,39.3,20.6,190.0,3650.0
446,1938,Adelie,Dream,Female,36.0,17.8,195.0,3450.0
447,1796,Gentoo,Biscoe,Female,48.4,14.4,203.0,4625.0
448,1970,Adelie,Torgersen,Male,43.1,19.2,197.0,3500.0
449,1830,Gentoo,Biscoe,Male,46.8,15.4,215.0,5150.0
450,1834,Adelie,Biscoe,Female,35.9,19.2,189.0,3800.0
451,1184,Chinstrap,Dream,Male,49.3,19.9,203.0,4050.0
452,1849,Adelie,Torgersen,Female,34.4,18.4,184.0,3325.0
453,1765,Gentoo,Biscoe,Male,51.5,16.3,230.0,5500.0
454,1223,Adelie,Dream,Female,38.1,18.6,190.0,3700.0
455,1569,Adelie,Torgersen,Male,41.1,18.6,189.0,3325.0
456,1647,Adelie,Biscoe,Female,36.4,17.1,184.0,2850.0
457,1161,Adelie,Dream,Male,39.0,18.7,185.0,3650.0
458,1940,Adelie,Dream,Female,36.0,18.5,186.0,3100.0
459,1133,Adelie,Biscoe,Male,40.1,18.9,188.0,4300.0
460,1256,Chinstrap,Dream,Male,51.3,18.2,197.0,3750.0
461,1245,Chinstrap,Dream,Female,50.1,17.9,190.0,3400.0
462,1544,Chinstrap,Dream,Male,50.8,18.5,201.0,4450.0
463,1825,Adelie,Torgersen,,34.1,18.1,193.0,3475.0
464,1568,Gentoo,Biscoe,Male,46.4,15.6,221.0,5000.0
465,1327,Chinstrap,Dream,Male,49.0,19.6,212.0,4300.0
466,1735,Adelie,Torgersen,Male,37.2,19.4,184.0,3900.0
467,1239,Chinstrap,Dream,Female,58.0,17.8,181.0,3700.0
468,1129,Adelie,Biscoe,Female,37.6,17.0,185.0,3600.0
469,1879,Adelie,Torgersen,Male,40.6,19.0,199.0,4000.0
470,1915,Gentoo,Biscoe,Female,46.2,14.1,217.0,4375.0
471,1879,Adelie,Torgersen,Male,40.6,19.0,199.0,4000.0
472,1882,Adelie,Torgersen,Male,35.1,19.4,193.0,4200.0
473,1168,Gentoo,Biscoe,Female,46.9,14.6,222.0,4875.0
474,1043,Chinstrap,Dream,Male,5.42,2.08,20.1,4300.0
475,1240,Chinstrap,Dream,Male,52.0,18.1,201.0,4050.0
476,1924,Gentoo,Biscoe,Female,45.2,13.8,215.0,4750.0
477,1351,Adelie,Torgersen,Female,40.3,18.0,195.0,3250.0
478,1817,Gentoo,Biscoe,Female,48.5,15.0,219.0,4850.0
479,1963,Adelie,Biscoe,Female,35.0,17.9,190.0,3450.0
480,1511,Gentoo,Biscoe,Male,53.4,15.8,219.0,5500.0
481,1622,Chinstrap,Dream,Female,45.9,17.1,190.0,3575.0
482,1562,Adelie,Dream,Male,39.2,18.6,190.0,4250.0
483,1648,Gentoo,Biscoe,Male,49.8,16.8,230.0,5700.0
484,1562,Adelie,Dream,Male,39.2,18.6,190.0,4250.0
485,1863,Adelie,Dream,Male,40.2,20.1,200.0,3975.0
486,1992,Adelie,Biscoe,Female,39.7,17.7,193.0,3200.0
487,1799,Chinstrap,Dream,Female,46.9,16.6,192.0,2700.0
488,1742,Chinstrap,Dream,Male,49.0,19.5,210.0,3950.0
489,1629,Gentoo,Biscoe,Male,55.1,16.0,230.0,5850.0
490,1366,Gentoo,Biscoe,Male,48.8,16.2,222.0,6000.0
491,1033,Gentoo,Biscoe,Male,4.779999999999999,1.5,21.5,5650.0
492,1858,Gentoo,Biscoe,Male,51.1,16.3,220.0,6000.0
493,1104,Adelie,Dream,Male,38.3,19.2,189.0,3950.0
494,1511,Gentoo,Biscoe,Male,53.4,15.8,219.0,5500.0
495,1940,Adelie,Dream,Female,36.0,18.5,186.0,3100.0
496,1140,Adelie,Torgersen,Female,41.1,17.6,182.0,3200.0
497,1840,Adelie,Biscoe,Male,37.6,19.1,194.0,3750.0
498,1295,Chinstrap,Dream,Female,4.67,1.7899999999999998,19.5,3300.0
499,1574,Gentoo,Biscoe,Male,48.7,15.1,222.0,5350.0
500,1440,Chinstrap,Dream,Female,45.6,19.4,194.0,3525.0
501,1742,Chinstrap,Dream,Male,49.0,19.5,210.0,3950.0
502,1721,Gentoo,Biscoe,Female,46.5,13.5,210.0,4550.0
503,1178,Adelie,Biscoe,Male,41.1,18.2,192.0,4050.0
504,1182,Gentoo,Biscoe,Male,50.0,15.9,224.0,5350.0
505,1222,Adelie,Dream,Male,40.8,18.4,195.0,3900.0
506,1490,Chinstrap,Dream,Male,50.2,18.8,202.0,3800.0
507,1154,Adelie,Biscoe,Male,37.7,18.7,180.0,3600.0
508,1452,Gentoo,Biscoe,,44.5,14.3,216.0,4100.0
509,1647,Adelie,Biscoe,Female,36.4,17.1,184.0,2850.0
510,1035,Gentoo,Biscoe,,,,,
511,1204,Adelie,Torgersen,Female,36.2,16.1,187.0,3550.0
512,1535,Chinstrap,Dream,Female,45.2,16.6,191.0,3250.0
513,1909,Gentoo,Biscoe,Female,45.5,13.9,210.0,4200.0
514,1884,Chinstrap,Dream,Female,46.2,17.5,187.0,3650.0
515,1860,Adelie,Torgersen,Male,44.1,18.0,210.0,4000.0
516,1479,Adelie,Biscoe,Male,40.6,18.6,183.0,3550.0
517,1650,Adelie,Biscoe,Male,45.6,20.3,191.0,4600.0
518,1135,Chinstrap,Dream,Male,5.14,1.9,20.1,3950.0
519,1944,Adelie,Dream,Male,38.8,20.0,190.0,3950.0
520,1790,Adelie,Dream,Male,42.3,21.2,191.0,4150.0
521,1091,Adelie,Dream,Male,41.1,19.0,182.0,3425.0
522,1913,Adelie,Dream,Female,37.6,19.3,181.0,3300.0
523,1113,Chinstrap,Dream,Female,45.5,17.0,196.0,3500.0
524,1308,Adelie,Torgersen,Female,35.5,17.5,190.0,3700.0
525,1614,Chinstrap,Dream,Female,50.5,18.4,200.0,3400.0
526,1516,Adelie,Dream,Female,36.4,17.0,195.0,3325.0
527,1654,Adelie,Torgersen,Female,40.9,16.8,191.0,3700.0
528,1655,Gentoo,Biscoe,Female,45.5,14.5,212.0,4750.0
529,1500,Chinstrap,Dream,Female,46.8,16.5,189.0,3650.0
530,1135,Chinstrap,Dream,Male,51.4,19.0,201.0,3950.0
531,1799,Chinstrap,Dream,Female,46.9,16.6,192.0,2700.0
532,1415,Gentoo,Biscoe,Female,46.8,14.3,215.0,4850.0
533,1388,Adelie,Torgersen,Male,42.9,17.6,196.0,4700.0
534,1950,Adelie,Torgersen,Female,39.5,17.4,186.0,3800.0
535,1547,Gentoo,Biscoe,Female,48.2,14.3,210.0,4600.0
536,1674,Gentoo,Biscoe,Male,49.3,15.7,217.0,5850.0
537,1817,Gentoo,Biscoe,Female,48.5,15.0,219.0,4850.0
538,1178,Adelie,Biscoe,Male,41.1,18.2,192.0,4050.0
539,1490,Chinstrap,Dream,Male,50.2,18.8,202.0,3800.0
540,1812,Chinstrap,Dream,Female,45.4,18.7,188.0,3525.0
541,1136,Adelie,Torgersen,Male,45.8,18.9,197.0,4150.0
542,1150,Chinstrap,Dream,Male,52.0,19.0,197.0,4150.0
543,1935,Gentoo,Biscoe,Female,47.2,13.7,214.0,4925.0
544,1441,Adelie,Biscoe,Female,37.7,16.0,183.0,3075.0
545,1036,Gentoo,Biscoe,Female,43.3,14.0,208.0,4575.0
546,1060,Adelie,Dream,Male,37.8,18.1,193.0,3750.0
547,1207,Adelie,Dream,Male,39.6,18.8,190.0,4600.0
548,1709,Gentoo,Biscoe,Female,4.51,1.45,21.5,5000.0
549,1975,Adelie,Dream,Male,39.2,21.1,196.0,4150.0
550,1267,Adelie,Biscoe,Female,34.5,18.1,187.0,2900.0
551,1478,Gentoo,Biscoe,Female,49.1,14.5,212.0,4625.0
552,1653,Gentoo,Biscoe,Female,4.2,1.35,21.0,4150.0
553,1111,Gentoo,Biscoe,Female,46.6,14.2,210.0,4850.0
554,1076,Adelie,Torgersen,Male,39.7,18.4,190.0,3900.0
555,1259,Adelie,Torgersen,Female,40.2,17.0,176.0,3450.0
556,1390,Chinstrap,Dream,Male,49.7,18.6,195.0,3600.0
557,1015,Adelie,Dream,Male,43.2,18.5,192.0,4100.0
558,1495,Adelie,Torgersen,Male,38.6,21.2,191.0,3800.0
559,1724,Chinstrap,Dream,Female,47.0,17.3,185.0,3700.0
560,1334,Adelie,Biscoe,Female,38.1,16.5,198.0,3825.0
561,1227,Adelie,Torgersen,Male,42.8,18.5,195.0,4250.0
562,1095,Gentoo,Biscoe,Male,50.5,15.9,222.0,5550.0
563,1379,Gentoo,Biscoe,,46.2,14.4,214.0,4650.0
564,1754,Adelie,Torgersen,Female,38.5,17.9,190.0,3325.0
565,1688,Adelie,Dream,Female,35.7,18.0,202.0,3550.0
566,1718,Adelie,Biscoe,Male,42.2,19.5,197.0,4275.0
567,1765,Gentoo,Biscoe,Male,51.5,16.3,230.0,5500.0
568,1922,Adelie,Dream,Female,42.2,18.5,180.0,3550.0
569,1820,Gentoo,Biscoe,Male,45.2,15.8,215.0,5300.0
570,1885,Adelie,Biscoe,Female,40.5,17.9,187.0,3200.0
571,1189,Adelie,Biscoe,Male,41.0,20.0,203.0,4725.0
572,1415,Gentoo,Biscoe,Female,46.8,14.3,215.0,4850.0
573,1499,Adelie,Torgersen,Male,37.3,20.5,199.0,3775.0
574,1775,Gentoo,Biscoe,Female,43.3,13.4,209.0,4400.0
575,1351,Adelie,Torgersen,Female,40.3,18.0,195.0,3250.0
576,1412,Adelie,Biscoe,Male,40.6,18.8,193.0,3800.0
577,1732,Gentoo,Biscoe,Male,48.1,15.1,209.0,5500.0
578,1377,Adelie,Biscoe,Male,42.7,18.3,196.0,4075.0
579,1299,Gentoo,Biscoe,Male,46.8,16.1,215.0,5500.0
580,1914,Adelie,Torgersen,Female,38.8,17.6,191.0,3275.0
581,1111,Gentoo,Biscoe,Female,46.6,14.2,210.0,4850.0
582,1616,Adelie,Dream,Female,37.3,17.8,191.0,3350.0
583,1626,Gentoo,Biscoe,Female,49.1,14.8,220.0,5150.0
584,1344,Gentoo,Biscoe,Female,43.8,13.9,208.0,4300.0
585,1388,Adelie,Torgersen,Male,42.9,17.6,196.0,4700.0
586,1334,Adelie,Biscoe,Female,38.1,16.5,198.0,3825.0
587,1316,Adelie,Dream,Female,35.6,17.5,191.0,3175.0
588,1432,Adelie,Biscoe,Male,41.6,18.0,192.0,3950.0
589,1887,Gentoo,Biscoe,Female,47.5,14.2,209.0,4600.0
590,1032,Adelie,Biscoe,Male,41.1,19.1,188.0,4100.0
591,1965,Adelie,Dream,Male,39.8,19.1,184.0,4650.0
592,1429,Chinstrap,Dream,Female,50.9,17.9,196.0,3675.0
593,1481,Gentoo,Biscoe,Female,43.4,14.4,218.0,4600.0
594,1197,Gentoo,Biscoe,Female,43.5,15.2,213.0,4650.0
595,1488,Gentoo,Biscoe,Male,50.0,15.3,220.0,5550.0
596,1245,Chinstrap,Dream,Female,50.1,17.9,190.0,3400.0
597,1768,Adelie,Torgersen,,37.8,17.3,180.0,3700.0
598,1105,Adelie,Dream,Male,40.6,17.2,187.0,3475.0
599,1375,Adelie,Torgersen,Female,35.2,15.9,186.0,3050.0
600,1931,Gentoo,Biscoe,Female,46.5,14.4,217.0,4900.0
601,1006,Adelie,Biscoe,Male,39.7,18.9,184.0,3550.0
602,1449,Adelie,Biscoe,Female,37.9,18.6,193.0,2925.0
603,1298,Adelie,Dream,Female,38.1,17.6,187.0,3425.0
604,1196,Gentoo,Biscoe,Male,55.9,17.0,228.0,5600.0
605,1544,Chinstrap,Dream,Male,50.8,18.5,201.0,4450.0
606,1004,Gentoo,Biscoe,Female,47.4,14.6,212.0,4725.0
607,1911,Chinstrap,Dream,Male,52.8,20.0,205.0,4550.0
608,1718,Adelie,Biscoe,Male,42.2,19.5,197.0,4275.0
609,1027,Gentoo,Biscoe,Female,46.1,13.2,211.0,4500.0
610,1771,Gentoo,Biscoe,Female,42.9,13.1,215.0,5000.0
611,1616,Adelie,Dream,Female,37.3,17.8,191.0,3350.0
612,1912,Gentoo,Biscoe,Male,50.7,15.0,223.0,5550.0
613,1479,Adelie,Biscoe,Male,40.6,18.6,183.0,3550.0
614,1458,Adelie,Dream,Female,34.0,17.1,185.0,3400.0
615,1589,Adelie,Biscoe,Male,41.3,21.1,195.0,4400.0
616,1980,Gentoo,Biscoe,Male,49.1,15.0,228.0,5500.0
617,1412,Adelie,Biscoe,Male,40.6,18.8,193.0,3800.0
618,1601,Chinstrap,Dream,Male,49.2,18.2,195.0,4400.0
619,1950,Adelie,Torgersen,Female,39.5,17.4,186.0,3800.0
620,1088,Gentoo,Biscoe,Male,47.6,14.5,215.0,5400.0
621,1871,Adelie,Dream,Female,33.1,16.1,178.0,2900.0
622,1777,Chinstrap,Dream,Male,51.0,18.8,203.0,4100.0
623,1741,Chinstrap,Dream,Male,51.9,19.5,206.0,3950.0
624,1197,Gentoo,Biscoe,Female,43.5,15.2,213.0,4650.0
625,1646,Adelie,Dream,Male,40.7,17.0,190.0,3725.0
626,1431,Adelie,Biscoe,Female,37.8,18.3,174.0,3400.0
627,1939,Gentoo,Biscoe,Male,49.8,15.9,229.0,5950.0
628,1259,Adelie,Torgersen,Female,40.2,17.0,176.0,3450.0
629,1088,Gentoo,Biscoe,Male,47.6,14.5,215.0,5400.0
630,1301,Adelie,Torgersen,Female,38.7,19.0,195.0,3450.0
631,1040,Gentoo,Biscoe,Male,46.7,15.3,219.0,5200.0
632,1651,Gentoo,Biscoe,Female,46.2,14.5,209.0,4800.0
633,1570,Chinstrap,Dream,Male,50.9,19.1,196.0,3550.0
634,1694,Chinstrap,Dream,Female,46.0,18.9,195.0,4150.0
635,1497,Adelie,Torgersen,Male,42.1,19.1,195.0,4000.0
636,1359,Adelie,Biscoe,Male,41.4,18.6,191.0,3700.0
637,1908,Gentoo,Biscoe,Male,49.6,16.0,225.0,5700.0
638,1551,Adelie,Dream,Male,41.5,18.5,201.0,4000.0
639,1371,Adelie,Torgersen,Male,41.5,18.3,195.0,4300.0
640,1512,Adelie,Biscoe,Male,37.8,20.0,190.0,4250.0
641,1239,Chinstrap,Dream,Female,58.0,17.8,181.0,3700.0
642,1591,Gentoo,Biscoe,Male,54.3,15.7,231.0,5650.0
643,1440,Chinstrap,Dream,Female,45.6,19.4,194.0,3525.0
644,1096,Chinstrap,Dream,Male,53.5,19.9,205.0,4500.0
645,1914,Adelie,Torgersen,Female,38.8,17.6,191.0,3275.0
646,1711,Gentoo,Biscoe,Female,45.2,14.8,212.0,5200.0
647,1034,Chinstrap,Dream,Male,50.7,19.7,203.0,4050.0
648,1570,Chinstrap,Dream,Male,50.9,19.1,196.0,3550.0
649,1004,Gentoo,Biscoe,Female,47.4,14.6,212.0,4725.0
650,1114,Adelie,Biscoe,Male,40.5,18.9,180.0,3950.0
651,1056,Adelie,Dream,Male,39.7,17.9,193.0,4250.0
652,1863,Adelie,Dream,Male,40.2,20.1,200.0,3975.0
653,1161,Adelie,Dream,Male,39.0,18.7,185.0,3650.0
654,1862,Gentoo,Biscoe,Female,45.1,14.5,207.0,5050.0
655,1963,Adelie,Biscoe,Female,35.0,17.9,190.0,3450.0
656,1688,Adelie,Dream,Female,35.7,18.0,202.0,3550.0
657,1063,Adelie,Torgersen,Male,46.0,21.5,194.0,4200.0
658,1789,Gentoo,Biscoe,Male,52.1,17.0,230.0,5550.0
659,1408,Gentoo,Biscoe,Female,46.5,14.8,217.0,5200.0
660,1496,Gentoo,Biscoe,Female,43.5,14.2,220.0,4700.0
661,1308,Adelie,Torgersen,Female,35.5,17.5,190.0,3700.0
662,1359,Adelie,Biscoe,Male,41.4,18.6,191.0,3700.0
663,1943,Adelie,Dream,Male,37.2,18.1,178.0,3900.0
664,1035,Gentoo,Biscoe,,,,,
665,1110,Gentoo,Biscoe,Female,45.4,14.6,211.0,4800.0
666,1990,Gentoo,Biscoe,Female,47.5,14.0,212.0,4875.0
667,1267,Adelie,Biscoe,Female,34.5,18.1,187.0,2900.0
668,1855,Gentoo,Biscoe,Male,48.4,16.3,220.0,5400.0
669,1556,Adelie,Dream,Female,36.0,17.9,190.0,3450.0
670,1034,Chinstrap,Dream,Male,50.7,19.7,203.0,4050.0
671,1085,Chinstrap,Dream,Male,51.3,19.9,198.0,3700.0
672,1741,Chinstrap,Dream,Male,51.9,19.5,206.0,3950.0
673,1096,Chinstrap,Dream,Male,53.5,19.9,205.0,4500.0
674,1927,Adelie,Dream,Female,37.0,16.9,185.0,3000.0
675,1954,Gentoo,Biscoe,Female,46.5,14.5,213.0,4400.0
676,1635,Gentoo,Biscoe,Male,46.2,14.9,221.0,5300.0
677,1686,Gentoo,Biscoe,Female,47.2,15.5,215.0,4975.0
678,1812,Chinstrap,Dream,Female,45.4,18.7,188.0,3525.0
679,1724,Chinstrap,Dream,Female,47.0,17.3,185.0,3700.0
680,1599,Gentoo,Biscoe,Female,48.7,14.1,210.0,4450.0
681,1512,Adelie,Biscoe,Male,37.8,20.0,190.0,4250.0
682,1895,Gentoo,Biscoe,Male,50.4,15.3,224.0,5550.0
683,1098,Gentoo,Biscoe,Female,40.9,13.7,214.0,4650.0
684,1693,Adelie,Biscoe,Female,39.6,20.7,191.0,3900.0
685,1337,Gentoo,Biscoe,Male,50.8,17.3,228.0,5600.0
686,1168,Gentoo,Biscoe,Female,4.6899999999999995,1.46,22.2,4875.0
687,1803,Chinstrap,Dream,Male,51.3,19.2,193.0,3650.0
688,1894,Adelie,Torgersen,,37.8,17.1,186.0,3300.0
689,1238,Adelie,Biscoe,Female,37.9,18.6,172.0,3150.0
690,1829,Adelie,Torgersen,Female,38.9,17.8,181.0,3625.0
691,1889,Adelie,Torgersen,Male,39.1,18.7,181.0,3750.0
692,1033,Gentoo,Biscoe,Male,47.8,15.0,215.0,5650.0
693,1152,Gentoo,Biscoe,Male,49.5,16.1,224.0,5650.0
694,1980,Gentoo,Biscoe,Male,49.1,15.0,228.0,5500.0
695,1000,Gentoo,Biscoe,Male,50.4,15.7,222.0,5750.0
696,1900,Chinstrap,Dream,Female,42.5,16.7,187.0,3350.0
697,1390,Chinstrap,Dream,Male,49.7,18.6,195.0,3600.0
698,1984,Chinstrap,Dream,Male,51.5,18.7,187.0,3250.0
699,1115,Gentoo,Biscoe,Male,52.2,17.1,228.0,5400.0
700,1420,Adelie,Dream,Female,36.6,18.4,184.0,3475.0
701,1960,Chinstrap,Dream,Male,49.5,19.0,200.0,3800.0
702,1850,Adelie,Torgersen,,,,,
703,1885,Adelie,Biscoe,Female,40.5,17.9,187.0,3200.0
704,1586,Adelie,Dream,Female,32.1,15.5,188.0,3050.0
705,1196,Gentoo,Biscoe,Male,55.9,17.0,228.0,5600.0
706,1220,Adelie,Dream,Male,41.3,20.3,194.0,3550.0
707,1697,Adelie,Biscoe,Female,35.7,16.9,185.0,3150.0
708,1733,Chinstrap,Dream,Male,52.7,19.8,197.0,3725.0
